nohup: ignoring input
[2026-01-13T11:38:58.619090Z] KC3 LAG agent started | alts=['UNI', 'SOL', 'ETH', 'BNB', 'DOGE', 'TON', 'SUI', 'XRP', 'TRX', 'ADA', 'LINK', 'XMR', 'XLM', 'ZEC', 'LTC', 'AVAX', 'HYPE', 'WLFI'] lookback_sec=14400.0 z_enter=1.6 loop=15.0s
[2026-01-13T11:38:58.632464Z] warming up history (1 pts)
[2026-01-13T11:39:13.634170Z] ROTATE LONG SOLUSDT z=-1.785 best=SOL zbest=-1.785
[2026-01-13T11:39:28.635708Z] ROTATE SHORT TONUSDT z=2.134 best=TON zbest=2.134
[2026-01-13T11:39:43.637588Z] HOLD SHORT TONUSDT z=2.141 best=TON zbest=2.141
[2026-01-13T11:39:58.639008Z] FLAT reason=exit best=ETH z=-1.410
[2026-01-13T11:40:13.640565Z] ENTER LONG SOLUSDT z=-1.952 best=SOL zbest=-1.952
[2026-01-13T11:40:28.642379Z] HOLD LONG SOLUSDT z=-1.885 best=SOL zbest=-1.885
[2026-01-13T11:40:43.644691Z] HOLD LONG SOLUSDT z=-1.947 best=SOL zbest=-1.947
[2026-01-13T11:40:58.646765Z] HOLD LONG SOLUSDT z=-1.261 best=UNI zbest=1.638
[2026-01-13T11:41:13.649063Z] ROTATE SHORT UNIUSDT z=1.920 best=UNI zbest=1.920
[2026-01-13T11:41:28.651082Z] HOLD SHORT UNIUSDT z=2.016 best=UNI zbest=2.016
[2026-01-13T11:41:43.653814Z] HOLD SHORT UNIUSDT z=1.504 best=SUI zbest=-1.705
[2026-01-13T11:41:58.655873Z] HOLD SHORT UNIUSDT z=1.140 best=SUI zbest=-1.748
[2026-01-13T11:42:13.658036Z] HOLD SHORT UNIUSDT z=1.127 best=SUI zbest=-1.455
[2026-01-13T11:42:28.660315Z] ROTATE LONG SUIUSDT z=-1.966 best=SUI zbest=-1.966
[2026-01-13T11:42:43.662693Z] HOLD LONG SUIUSDT z=-1.918 best=SUI zbest=-1.918
[2026-01-13T11:42:58.665246Z] HOLD LONG SUIUSDT z=-1.769 best=SUI zbest=-1.769
[2026-01-13T11:43:13.666901Z] HOLD LONG SUIUSDT z=-1.581 best=UNI zbest=1.594
[2026-01-13T11:43:28.669380Z] HOLD LONG SUIUSDT z=-1.634 best=SUI zbest=-1.634
[2026-01-13T11:43:43.675052Z] HOLD LONG SUIUSDT z=-1.491 best=UNI zbest=1.738
[2026-01-13T11:43:58.677512Z] HOLD LONG SUIUSDT z=-1.552 best=UNI zbest=1.705
[2026-01-13T11:44:13.680740Z] HOLD LONG SUIUSDT z=-1.503 best=SUI zbest=-1.503
[2026-01-13T11:44:28.683822Z] HOLD LONG SUIUSDT z=-1.574 best=SUI zbest=-1.574
[2026-01-13T11:44:43.686662Z] HOLD LONG SUIUSDT z=-1.584 best=SUI zbest=-1.584
[2026-01-13T11:44:58.689851Z] HOLD LONG SUIUSDT z=-1.625 best=SUI zbest=-1.625
[2026-01-13T11:45:13.693293Z] HOLD LONG SUIUSDT z=-1.497 best=SUI zbest=-1.497
[2026-01-13T11:45:28.699313Z] HOLD LONG SUIUSDT z=-1.557 best=SUI zbest=-1.557
[2026-01-13T11:45:43.702315Z] HOLD LONG SUIUSDT z=-1.609 best=SUI zbest=-1.609
[2026-01-13T11:45:58.705917Z] HOLD LONG SUIUSDT z=-1.505 best=SUI zbest=-1.505
[2026-01-13T11:46:13.709095Z] HOLD LONG SUIUSDT z=-1.792 best=SUI zbest=-1.792
[2026-01-13T11:46:28.715255Z] HOLD LONG SUIUSDT z=-1.925 best=SUI zbest=-1.925
[2026-01-13T11:46:43.722331Z] HOLD LONG SUIUSDT z=-1.922 best=SUI zbest=-1.922
[2026-01-13T11:46:58.725696Z] HOLD LONG SUIUSDT z=-1.857 best=SUI zbest=-1.857
[2026-01-13T11:47:13.729375Z] HOLD LONG SUIUSDT z=-1.749 best=SUI zbest=-1.749
[2026-01-13T11:47:28.732574Z] HOLD LONG SUIUSDT z=-1.696 best=SUI zbest=-1.696
[2026-01-13T11:47:43.736153Z] HOLD LONG SUIUSDT z=-1.795 best=SUI zbest=-1.795
[2026-01-13T11:47:58.739714Z] HOLD LONG SUIUSDT z=-1.805 best=SUI zbest=-1.805
[2026-01-13T11:48:13.743520Z] HOLD LONG SUIUSDT z=-1.867 best=SUI zbest=-1.867
[2026-01-13T11:48:28.747298Z] HOLD LONG SUIUSDT z=-1.722 best=SUI zbest=-1.722
[2026-01-13T11:48:43.755270Z] HOLD LONG SUIUSDT z=-1.737 best=SUI zbest=-1.737
[2026-01-13T11:48:58.759255Z] HOLD LONG SUIUSDT z=-1.874 best=SUI zbest=-1.874
[2026-01-13T11:49:13.763066Z] HOLD LONG SUIUSDT z=-1.924 best=SUI zbest=-1.924
[2026-01-13T11:49:28.766860Z] HOLD LONG SUIUSDT z=-1.846 best=SUI zbest=-1.846
[2026-01-13T11:49:43.774279Z] HOLD LONG SUIUSDT z=-1.867 best=SUI zbest=-1.867
[2026-01-13T11:49:58.779011Z] HOLD LONG SUIUSDT z=-1.969 best=SUI zbest=-1.969
[2026-01-13T11:50:13.782644Z] HOLD LONG SUIUSDT z=-2.018 best=SUI zbest=-2.018
[2026-01-13T11:50:28.786829Z] HOLD LONG SUIUSDT z=-1.975 best=SUI zbest=-1.975
[2026-01-13T11:50:43.795830Z] HOLD LONG SUIUSDT z=-1.984 best=SUI zbest=-1.984
[2026-01-13T11:50:58.801159Z] HOLD LONG SUIUSDT z=-1.970 best=SUI zbest=-1.970
[2026-01-13T11:51:13.805517Z] HOLD LONG SUIUSDT z=-1.956 best=SUI zbest=-1.956
[2026-01-13T11:51:28.809927Z] HOLD LONG SUIUSDT z=-1.876 best=SUI zbest=-1.876
[2026-01-13T11:51:43.818159Z] HOLD LONG SUIUSDT z=-1.875 best=SUI zbest=-1.875
[2026-01-13T11:51:58.826308Z] HOLD LONG SUIUSDT z=-1.959 best=SUI zbest=-1.959
[2026-01-13T11:52:13.834989Z] HOLD LONG SUIUSDT z=-1.800 best=SUI zbest=-1.800
[2026-01-13T11:52:28.841000Z] HOLD LONG SUIUSDT z=-2.072 best=SUI zbest=-2.072
[2026-01-13T11:52:43.847277Z] HOLD LONG SUIUSDT z=-1.970 best=SUI zbest=-1.970
[2026-01-13T11:52:58.856835Z] HOLD LONG SUIUSDT z=-2.004 best=SUI zbest=-2.004
[2026-01-13T11:53:13.865406Z] HOLD LONG SUIUSDT z=-2.038 best=SUI zbest=-2.038
[2026-01-13T11:53:28.871304Z] HOLD LONG SUIUSDT z=-2.123 best=SUI zbest=-2.123
[2026-01-13T11:53:43.876897Z] HOLD LONG SUIUSDT z=-2.021 best=SUI zbest=-2.021
[2026-01-13T11:53:58.881968Z] HOLD LONG SUIUSDT z=-2.164 best=SUI zbest=-2.164
[2026-01-13T11:54:13.886884Z] HOLD LONG SUIUSDT z=-2.241 best=SUI zbest=-2.241
[2026-01-13T11:54:28.891627Z] HOLD LONG SUIUSDT z=-2.173 best=SUI zbest=-2.173
[2026-01-13T11:54:43.896398Z] HOLD LONG SUIUSDT z=-2.135 best=SUI zbest=-2.135
[2026-01-13T11:54:58.901483Z] HOLD LONG SUIUSDT z=-2.258 best=SUI zbest=-2.258
[2026-01-13T11:55:13.912849Z] HOLD LONG SUIUSDT z=-2.119 best=SUI zbest=-2.119
